2021-02-07 23:50:45.039 +03:00 [INF] Creating client
2021-02-07 23:50:45.086 +03:00 [INF] Starting service...
2021-02-07 23:50:45.357 +03:00 [INF] Watching C:\Users\maksi\Desktop\Projects\EPAM\EPAM\T4\bin\Debug\Sales
2021-02-07 23:50:45.357 +03:00 [INF] Started
2021-02-07 23:50:55.870 +03:00 [INF] Directory content changed. Processing...
2021-02-07 23:50:55.945 +03:00 [INF] Ghost local sales: 100, Client Ursulina Rodmann, 20.06.1979, Product Chennai 943
101, Client Modestia Phi, 24.12.1974, Product Washington 29
102, Client Lizzie Center, 30.12.1913, Product Castries 971
103, Client Oralee Iiette, 15.05.1950, Product Copenhagen 788
104, Client Averyl Irmine, 19.11.1951, Product Recife 942
105, Client Ardys Corabella, 29.05.1990, Product Seoul 214
106, Client Janey Cutlerr, 27.11.1959, Product Maceió 336
107, Client Eolanda Cookie, 03.10.1993, Product Kigali 281
108, Client Dominga Karna, 19.07.2011, Product Sofia 779
109, Client Ardeen Gaulin, 07.05.1983, Product Whitehorse 357
110, Client Katuscha Loeb, 02.04.1997, Product Basse-Terre 472
111, Client Rosene Kravits, 21.04.1991, Product Port of Spain 860
112, Client Constance Audly, 10.05.1979, Product Philadelphia 166
113, Client Frank Havens, 07.10.1947, Product Saint-Denis 975
114, Client Monika Kesley, 19.05.1926, Product Virginia Beach 156
115, Client Roslyn Ellerey, 31.10.1904, Product Nagoya 629
116, Client Gilda Drus, 10.10.1909, Product Asmara 222
117, Client Amalie Krystle, 11.05.2004, Product Valencia 201
118, Client Lynde Jena, 26.12.1995, Product Roseau 659
119, Client Regina Mehalek, 15.04.1948, Product Bangalore 627

2021-02-07 23:50:55.957 +03:00 [INF] Sales are ready. Pushing...
2021-02-07 23:51:00.624 +03:00 [INF] Ghost sales: 1, Client , Manager , 24.02.1982 00:00:00
2, Client , Manager , 01.03.1983 00:00:00
3, Client , Manager , 14.12.2019 00:00:00
4, Client , Manager , 27.12.1979 00:00:00
5, Client , Manager , 10.02.1912 00:00:00
6, Client , Manager , 17.11.1963 00:00:00
7, Client , Manager , 03.01.1929 00:00:00
8, Client , Manager , 17.01.1932 00:00:00
9, Client , Manager , 14.10.1924 00:00:00
10, Client , Manager , 30.01.1940 00:00:00
11, Client , Manager , 16.07.1929 00:00:00
12, Client , Manager , 01.03.2018 00:00:00
13, Client , Manager , 26.09.1919 00:00:00
14, Client , Manager , 24.11.1947 00:00:00
15, Client , Manager , 23.07.1943 00:00:00
16, Client , Manager , 01.08.1916 00:00:00
17, Client , Manager , 15.06.1903 00:00:00
